"FullName","Length","LastWriteTime","CreationTime","Extension"
"B:\AgenticOperatingSystem\public\models\all-minilm-l6-v2\config.json","650","12/19/2025 4:29:37 PM","12/19/2025 4:29:37 PM",".json"
"B:\AgenticOperatingSystem\public\models\all-minilm-l6-v2\onnx\model.onnx","90387606","12/19/2025 4:29:41 PM","12/19/2025 4:29:40 PM",".onnx"
"B:\AgenticOperatingSystem\public\models\all-minilm-l6-v2\special_tokens_map.json","125","12/19/2025 4:29:39 PM","12/19/2025 4:29:39 PM",".json"
"B:\AgenticOperatingSystem\public\models\all-minilm-l6-v2\tokenizer_config.json","366","12/19/2025 4:29:38 PM","12/19/2025 4:29:38 PM",".json"
"B:\AgenticOperatingSystem\public\models\all-minilm-l6-v2\tokenizer.json","711661","12/19/2025 4:29:38 PM","12/19/2025 4:29:38 PM",".json"
"B:\AgenticOperatingSystem\public\models\ping.txt","4","12/19/2025 4:29:36 PM","12/19/2025 3:49:10 PM",".txt"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\config.json","678","12/19/2025 4:06:34 PM","12/19/2025 4:06:34 PM",".json"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\onnx\model_quantized.onnx","512096557","12/19/2025 4:52:50 PM","12/19/2025 4:54:30 PM",".onnx"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\onnx\model.onnx","512096557","12/19/2025 5:02:01 PM","12/19/2025 5:02:01 PM",".onnx"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\special_tokens_map.json","613","12/19/2025 4:29:48 PM","12/19/2025 4:29:48 PM",".json"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\tokenizer_config.json","7306","12/19/2025 4:06:36 PM","12/19/2025 4:06:36 PM",".json"
"B:\AgenticOperatingSystem\public\models\qwen2.5-0.5b-instruct\tokenizer.json","7031673","12/19/2025 4:06:35 PM","12/19/2025 4:06:35 PM",".json"
"B:\AgenticOperatingSystem\public\models\smolvlm-256m-instruct\onnx\decoder_model_merged.onnx","540640302","12/19/2025 4:07:35 PM","12/19/2025 4:07:24 PM",".onnx"
"B:\AgenticOperatingSystem\public\models\smolvlm-256m-instruct\onnx\embed_tokens.onnx","113541419","12/19/2025 4:07:20 PM","12/19/2025 4:07:19 PM",".onnx"
"B:\AgenticOperatingSystem\public\models\smolvlm-256m-instruct\onnx\vision_encoder.onnx","374316497","12/19/2025 4:07:15 PM","12/19/2025 4:07:07 PM",".onnx"
"B:\AgenticOperatingSystem\src\AgentLeeStyleCore.tsx","16914","12/20/2025 5:03:45 AM","12/19/2025 7:32:22 AM",".tsx"
"B:\AgenticOperatingSystem\src\App.tsx","115437","12/20/2025 5:03:45 AM","12/19/2025 7:32:22 AM",".tsx"
"B:\AgenticOperatingSystem\src\Chevrons.css","2006","12/19/2025 2:35:39 PM","12/19/2025 1:56:18 PM",".css"
"B:\AgenticOperatingSystem\src\Chevrons.tsx","2692","12/19/2025 2:35:39 PM","12/19/2025 1:52:47 PM",".tsx"
